,20200214,20200213,20200212,20200211,20200210,20200209,20200208,20200207,20200206,20200205,20200204,20200203,20200202,20200201,20200131,20200130,20200129,20200128,20200127,20200126,20200125,20200124,20200123,20200122,20200121,20200120,20200119,20200118,20200117,20200116,20200115,20200114,20200113,20200112,case
益阳市,0,0,1,4,1,7,2,1,2,1,5,5,3,3,4,3,3,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,59
平顶山市,1,1,1,1,2,2,2,2,5,7,6,9,5,3,1,2,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58
惠州市,2,1,1,1,3,3,6,2,4,4,2,1,5,3,3,0,5,1,3,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,58
青岛市,1,2,0,0,1,5,1,3,2,7,5,4,3,1,0,3,3,2,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,56
香港,3,3,1,7,6,10,0,2,3,3,3,0,1,1,1,2,2,0,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,56
莆田市,1,0,2,1,0,4,0,3,2,4,1,3,7,2,3,5,3,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
金华市,0,0,1,1,0,0,1,4,1,3,4,4,2,0,7,7,7,6,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,55
新乡市,0,1,1,5,2,2,1,2,0,2,6,6,6,0,6,4,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,55
三亚市,0,0,8,1,4,1,3,5,2,8,4,1,0,2,1,0,0,0,4,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,54
无锡市,1,2,1,3,4,3,4,3,3,2,1,2,4,6,1,2,1,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52
安阳市,1,0,1,3,1,1,1,3,3,2,2,4,5,0,4,4,2,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51
南宁市,2,3,0,3,4,2,3,1,1,2,1,5,6,0,0,1,8,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49
济宁市,3,3,1,1,2,0,1,3,3,9,2,3,4,4,2,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,49
昆明市,0,1,1,1,3,1,0,1,3,3,0,2,1,1,5,4,6,3,5,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,48
双鸭山市,0,9,0,1,0,0,2,0,16,4,4,5,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
济南市,0,0,0,1,2,2,0,3,6,4,4,3,3,1,2,2,3,1,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,47
衡阳市,1,1,0,0,0,0,2,0,0,4,4,3,2,4,1,5,3,10,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47
临沂市,0,2,0,1,2,2,2,3,3,2,3,3,0,1,3,4,1,7,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,47
绥化市,1,0,2,4,2,2,-9,5,10,5,2,6,2,1,1,2,2,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,46
烟台市,0,0,3,2,2,3,2,3,2,3,0,4,2,0,2,5,3,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46
唐山市,3,8,2,2,3,1,4,4,2,5,1,0,0,3,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
泉州市,2,0,1,0,1,0,2,0,1,2,2,4,2,5,2,4,5,3,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,46
连云港市,1,3,3,2,2,3,5,3,2,2,3,3,1,0,4,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,46
