city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
451200,河池市,Hechi,1.507905048,"0.3(0.11, 0.54)","0.3(0.09, 0.55)","2(0, 3)"
511000,内江市,Neijiang,2.371083589,"0.4(0.24, 0.58)","0.4(0.22, 0.59)","2(1, 4)"
321000,扬州市,Yangzhou,1.574864301,"0.22(0.1, 0.32)","0.22(0.09, 0.33)","2(1, 2)"
510500,泸州市,Luzhou,1.746301324,"0.35(0.15, 0.61)","0.35(0.13, 0.61)","2(1, 3)"
410600,鹤壁市,Hebi,1.623578349,"0.27(0.12, 0.41)","0.27(0.1, 0.42)","2(1, 3)"
510600,德阳市,Deyang,1.982070662,"0.33(0.18, 0.49)","0.33(0.16, 0.5)","2(1, 3)"
654000,伊犁哈萨克自治州,Yili,1.685371623,"0.34(0.14, 0.59)","0.34(0.12, 0.6)","2(1, 3)"
460400,儋州市,Danzhou,1.514479557,"0.3(0.11, 0.54)","0.3(0.09, 0.55)","2(0, 3)"
532900,大理白族自治州,Dali,1.912258997,"0.32(0.16, 0.47)","0.32(0.15, 0.49)","2(1, 3)"
429021,神农架林区,Shennongjia,1.728227811,"0.25(0.12, 0.34)","0.25(0.11, 0.36)","2(1, 2)"
330500,湖州市,Huzhou,2.127034582,"0.35(0.2, 0.52)","0.35(0.18, 0.54)","2(1, 3)"
610200,铜川市,Tongchuan,1.78750011,"0.36(0.16, 0.62)","0.36(0.14, 0.62)","2(1, 3)"
445200,揭阳市,Jieyang,2.037469286,"0.34(0.19, 0.5)","0.34(0.17, 0.52)","2(1, 3)"
210600,丹东市,Dandong,1.630189896,"0.33(0.13, 0.57)","0.33(0.11, 0.58)","2(1, 3)"
429004,仙桃市,Xiantao,0.538339984,"0.01(-0.48, 0.19)","0.01(-0.47, 0.2)","1(-42, 18)"
511700,达州市,Dazhou,0.759504394,"0.11(-0.02, 0.21)","0.11(-0.04, 0.22)","1(0, 2)"
