city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
231200,绥化市,Suihua,8,"0.71(0.62, 0.84)","0.71(0.61, 0.84)","8(7, 9)"
450500,北海市,Beihai,8,"0.7(0.61, 0.82)","0.7(0.6, 0.82)","8(7, 9)"
431000,郴州市,Chenzhou,8,"0.7(0.61, 0.82)","0.7(0.6, 0.82)","8(7, 9)"
511300,南充市,Nanchong,8,"0.71(0.62, 0.83)","0.71(0.61, 0.83)","8(7, 9)"
130600,保定市,Baoding,8,"0.69(0.61, 0.81)","0.69(0.6, 0.81)","8(7, 9)"
511600,广安市,Guangan,8,"0.71(0.62, 0.83)","0.71(0.61, 0.83)","8(7, 9)"
532800,西双版纳傣族自治州,Xishuangbanna,8,"0.72(0.63, 0.84)","0.72(0.61, 0.84)","8(7, 9)"
429005,潜江市,Qianjiang,7,"0.55(0.48, 0.61)","0.55(0.47, 0.61)","7(6, 7)"
320800,淮安市,Huaian,7,"0.68(0.58, 0.81)","0.68(0.57, 0.81)","7(6, 8)"
410400,平顶山市,Pingdingshan,7,"0.66(0.56, 0.78)","0.66(0.55, 0.79)","7(6, 8)"
810000,香港,Xianggang,7,"0.68(0.58, 0.82)","0.68(0.57, 0.82)","7(6, 8)"
341300,宿州市,Suzhou,7,"0.67(0.57, 0.8)","0.67(0.56, 0.81)","7(6, 8)"
640100,银川市,Yinchuan,7,"0.68(0.58, 0.81)","0.68(0.57, 0.81)","7(6, 8)"
610900,安康市,Ankang,7,"0.67(0.57, 0.8)","0.67(0.56, 0.8)","7(6, 8)"
330800,衢州市,Quzhou,7,"0.68(0.58, 0.81)","0.68(0.57, 0.81)","7(6, 8)"
350400,三明市,Sanming,7,"0.68(0.58, 0.81)","0.68(0.57, 0.81)","7(6, 8)"
320600,南通市,Nantong,6,"0.62(0.52, 0.76)","0.62(0.5, 0.77)","6(5, 7)"
430300,湘潭市,Xiangtan,6,"0.63(0.52, 0.77)","0.63(0.51, 0.77)","6(5, 7)"
140700,晋中市,Jinzhong,6,"0.64(0.53, 0.79)","0.64(0.52, 0.79)","6(5, 7)"
350200,厦门市,Xiamen,6,"0.65(0.55, 0.77)","0.65(0.54, 0.77)","6(5, 8)"
131000,廊坊市,Langfang,6,"0.64(0.53, 0.79)","0.64(0.52, 0.79)","6(5, 7)"
130100,石家庄市,Shijiazhuang,6,"0.64(0.55, 0.76)","0.64(0.54, 0.76)","6(5, 8)"
370400,枣庄市,Zaozhuang,6,"0.65(0.54, 0.8)","0.65(0.52, 0.8)","6(5, 7)"
450200,柳州市,Liuzhou,6,"0.63(0.52, 0.77)","0.63(0.51, 0.77)","6(5, 7)"
510700,绵阳市,Mianyang,6,"0.64(0.53, 0.78)","0.64(0.52, 0.79)","6(5, 7)"
440800,湛江市,Zhanjiang,6,"0.64(0.53, 0.79)","0.64(0.52, 0.79)","6(5, 7)"
371100,日照市,Rizhao,6,"0.65(0.54, 0.8)","0.65(0.52, 0.8)","6(5, 7)"
371600,滨州市,Binzhou,6,"0.65(0.54, 0.8)","0.65(0.52, 0.8)","6(5, 7)"
341000,黄山市,Huangshan,6,"0.65(0.54, 0.8)","0.65(0.52, 0.8)","6(5, 7)"
510300,自贡市,Zigong,6,"0.65(0.54, 0.8)","0.65(0.53, 0.81)","6(5, 7)"
370800,济宁市,Jining,5,"0.59(0.47, 0.76)","0.59(0.46, 0.76)","5(4, 6)"
320700,连云港市,Lianyungang,5,"0.59(0.47, 0.76)","0.59(0.46, 0.76)","5(4, 6)"
370700,潍坊市,Weifang,5,"0.59(0.47, 0.75)","0.59(0.45, 0.76)","5(4, 6)"
411000,许昌市,Xuchang,5,"0.57(0.45, 0.73)","0.57(0.44, 0.73)","5(4, 6)"
370300,淄博市,Zibo,5,"0.6(0.48, 0.76)","0.6(0.46, 0.77)","5(4, 6)"
210100,沈阳市,Shenyang,5,"0.58(0.46, 0.74)","0.58(0.45, 0.74)","5(4, 6)"
320900,盐城市,Yancheng,5,"0.59(0.47, 0.76)","0.59(0.46, 0.76)","5(4, 6)"
350900,宁德市,Ningde,5,"0.6(0.48, 0.77)","0.6(0.46, 0.77)","5(4, 6)"
350600,漳州市,Zhangzhou,5,"0.6(0.48, 0.77)","0.6(0.46, 0.77)","5(4, 6)"
140800,运城市,Yuncheng,5,"0.59(0.47, 0.75)","0.59(0.45, 0.75)","5(4, 6)"
710000,花莲县,Hualianxian,5,"0.61(0.48, 0.78)","0.61(0.47, 0.78)","5(4, 6)"
230800,佳木斯市,Jiamusi,5,"0.61(0.48, 0.78)","0.61(0.47, 0.78)","5(4, 6)"
630100,西宁市,Xining,5,"0.6(0.47, 0.76)","0.6(0.46, 0.76)","5(4, 6)"
130200,唐山市,Tangshan,4,"0.54(0.4, 0.73)","0.54(0.38, 0.73)","4(3, 5)"
371500,聊城市,Liaocheng,4,"0.54(0.4, 0.72)","0.54(0.38, 0.73)","4(3, 5)"
511700,达州市,Dazhou,4,"0.53(0.38, 0.71)","0.53(0.37, 0.71)","4(3, 5)"
360300,萍乡市,Pingxiang,4,"0.54(0.4, 0.73)","0.54(0.38, 0.73)","4(3, 5)"
130400,邯郸市,Handan,4,"0.5(0.36, 0.67)","0.5(0.35, 0.68)","4(2, 5)"
130500,邢台市,Xingtai,4,"0.52(0.38, 0.69)","0.52(0.36, 0.7)","4(3, 5)"
321000,扬州市,Yangzhou,4,"0.53(0.39, 0.71)","0.53(0.37, 0.72)","4(3, 5)"
360800,吉安市,Jian,4,"0.52(0.38, 0.7)","0.52(0.37, 0.7)","4(3, 5)"
371700,菏泽市,Heze,4,"0.51(0.38, 0.69)","0.51(0.36, 0.7)","4(3, 5)"
331100,丽水市,Lishui,4,"0.55(0.41, 0.74)","0.55(0.39, 0.74)","4(3, 5)"
450600,防城港市,Fangchenggang,4,"0.55(0.41, 0.75)","0.55(0.39, 0.75)","4(3, 5)"
441700,阳江市,Yangjiang,4,"0.55(0.41, 0.75)","0.55(0.39, 0.75)","4(3, 5)"
321300,宿迁市,Suqian,4,"0.55(0.4, 0.74)","0.55(0.39, 0.74)","4(3, 5)"
511500,宜宾市,Yibin,4,"0.55(0.4, 0.73)","0.55(0.39, 0.74)","4(3, 5)"
429021,神农架林区,Shennongjia,4,"0.53(0.39, 0.71)","0.53(0.37, 0.72)","4(3, 5)"
341500,六安市,Liuan,3,"0.49(0.35, 0.65)","0.49(0.34, 0.66)","3(2, 5)"
460100,海口市,Haikou,3,"0.43(0.27, 0.64)","0.43(0.25, 0.64)","3(2, 4)"
130700,张家口市,Zhangjiakou,3,"0.47(0.31, 0.7)","0.47(0.29, 0.7)","3(2, 4)"
530600,昭通市,Zhaotong,3,"0.48(0.31, 0.71)","0.48(0.29, 0.71)","3(2, 4)"
410200,开封市,Kaifeng,3,"0.44(0.28, 0.65)","0.44(0.26, 0.66)","3(2, 4)"
340400,淮南市,Huainan,3,"0.46(0.3, 0.68)","0.46(0.28, 0.69)","3(2, 4)"
650100,乌鲁木齐市,Wulumuqi,3,"0.43(0.27, 0.64)","0.43(0.25, 0.64)","3(2, 4)"
511000,内江市,Neijiang,3,"0.48(0.31, 0.7)","0.48(0.29, 0.7)","3(2, 4)"
610700,汉中市,Hanzhong,3,"0.47(0.3, 0.69)","0.47(0.28, 0.69)","3(2, 4)"
230600,大庆市,Daqing,3,"0.48(0.31, 0.7)","0.48(0.29, 0.7)","3(2, 4)"
410600,鹤壁市,Hebi,3,"0.47(0.3, 0.69)","0.47(0.28, 0.69)","3(2, 4)"
210200,大连市,Dalian,3,"0.45(0.29, 0.66)","0.45(0.27, 0.67)","3(2, 4)"
510600,德阳市,Deyang,3,"0.47(0.31, 0.69)","0.47(0.29, 0.7)","3(2, 4)"
530400,玉溪市,Yuxi,3,"0.47(0.31, 0.7)","0.47(0.29, 0.7)","3(2, 4)"
532900,大理白族自治州,Dali,3,"0.47(0.3, 0.69)","0.47(0.28, 0.69)","3(2, 4)"
469006,万宁市,Wanning,3,"0.48(0.31, 0.71)","0.48(0.29, 0.71)","3(2, 4)"
330900,舟山市,Zhoushan,3,"0.48(0.31, 0.7)","0.48(0.29, 0.7)","3(2, 4)"
330500,湖州市,Huzhou,3,"0.47(0.3, 0.69)","0.47(0.28, 0.69)","3(2, 4)"
530500,保山市,Baoshan,3,"0.48(0.31, 0.7)","0.48(0.29, 0.71)","3(2, 4)"
445200,揭阳市,Jieyang,3,"0.48(0.31, 0.7)","0.48(0.29, 0.71)","3(2, 4)"
513300,甘孜藏族自治州,Ganzi,2,"0.38(0.18, 0.65)","0.38(0.15, 0.66)","2(1, 3)"
640300,吴忠市,Wuzhong,2,"0.37(0.17, 0.64)","0.37(0.15, 0.64)","2(1, 3)"
511900,巴中市,Bazhong,2,"0.36(0.17, 0.63)","0.36(0.14, 0.63)","2(1, 3)"
451200,河池市,Hechi,2,"0.37(0.17, 0.63)","0.37(0.14, 0.64)","2(1, 3)"
510500,泸州市,Luzhou,2,"0.37(0.17, 0.64)","0.37(0.14, 0.64)","2(1, 3)"
441200,肇庆市,Zhaoqing,2,"0.37(0.17, 0.64)","0.37(0.15, 0.65)","2(1, 3)"
654000,伊犁哈萨克自治州,Yili,2,"0.37(0.17, 0.64)","0.37(0.15, 0.64)","2(1, 3)"
460400,儋州市,Danzhou,2,"0.37(0.17, 0.65)","0.37(0.15, 0.65)","2(1, 3)"
441400,梅州市,Meizhou,2,"0.37(0.17, 0.64)","0.37(0.15, 0.65)","2(1, 3)"
530300,曲靖市,Qujing,2,"0.35(0.15, 0.61)","0.35(0.13, 0.61)","2(1, 3)"
441800,清远市,Qingyuan,2,"0.37(0.17, 0.64)","0.37(0.14, 0.64)","2(1, 3)"
140200,大同市,Datong,2,"0.36(0.16, 0.62)","0.36(0.13, 0.62)","2(1, 3)"
820000,澳门,Aomen,2,"0.35(0.16, 0.62)","0.35(0.13, 0.62)","2(1, 3)"
610200,铜川市,Tongchuan,2,"0.38(0.18, 0.65)","0.38(0.15, 0.66)","2(1, 3)"
433100,湘西土家族苗族自治州,Xiangxi,2,"0.35(0.15, 0.61)","0.35(0.13, 0.61)","2(1, 3)"
210600,丹东市,Dandong,2,"0.38(0.18, 0.65)","0.38(0.15, 0.65)","2(1, 3)"
411200,三门峡市,Sanmenxia,2,"0.36(0.16, 0.63)","0.36(0.14, 0.63)","2(1, 3)"
530700,丽江市,Lijiang,2,"0.36(0.16, 0.63)","0.36(0.14, 0.63)","2(1, 3)"
141100,吕梁市,Lvliang,2,"0.36(0.16, 0.63)","0.36(0.14, 0.63)","2(1, 3)"
360600,鹰潭市,Yingtan,1,"0.21(-0.04, 0.54)","0.21(-0.07, 0.54)","1(0, 2)"
610400,咸阳市,Xianyang,1,"0.19(-0.05, 0.52)","0.19(-0.08, 0.53)","1(0, 2)"
610500,渭南市,Weinan,1,"0.21(-0.04, 0.54)","0.21(-0.07, 0.54)","1(0, 2)"
610300,宝鸡市,Baoji,1,"0.21(-0.04, 0.54)","0.21(-0.07, 0.54)","1(0, 2)"
210700,锦州市,Jinzhou,1,"0.22(-0.03, 0.55)","0.22(-0.06, 0.56)","1(0, 2)"
211400,葫芦岛市,Huludao,1,"0.21(-0.04, 0.55)","0.21(-0.07, 0.56)","1(0, 2)"
510900,遂宁市,Suining,1,"0.21(-0.04, 0.54)","0.21(-0.07, 0.55)","1(0, 2)"
520200,六盘水市,Liupanshui,1,"0.2(-0.05, 0.53)","0.2(-0.08, 0.53)","1(0, 2)"
450900,玉林市,Yulin,1,"0.18(-0.06, 0.51)","0.18(-0.09, 0.51)","1(0, 2)"
131100,衡水市,Hengshui,1,"0.19(-0.05, 0.52)","0.19(-0.08, 0.52)","1(0, 2)"
532500,红河哈尼族彝族自治州,Honghe,1,"0.21(-0.04, 0.55)","0.21(-0.07, 0.55)","1(0, 2)"
469002,琼海市,Qionghai,1,"0.21(-0.04, 0.55)","0.21(-0.07, 0.56)","1(0, 2)"
211300,朝阳市,Chaoyang,1,"0.22(-0.03, 0.56)","0.22(-0.06, 0.56)","1(0, 2)"
341800,宣城市,Xuancheng,1,"0.2(-0.05, 0.53)","0.2(-0.08, 0.53)","1(0, 2)"
530800,普洱市,Puer,1,"0.22(-0.03, 0.56)","0.22(-0.06, 0.57)","1(0, 2)"
230200,齐齐哈尔市,Qiqihar,0,"-0.04(-0.37, 0.42)","-0.04(-0.41, 0.42)","0(-1, 1)"
